url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.netflix.com/title/60000724,"Forrest Gump",Movie,"Drama, Romance",1994,tt0109830,8.8,2311997,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/1154386,"The Fifth Element",Movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,516291,"AT, CH, DE"
https://www.netflix.com/title/60031236,"Kill Bill: Vol. 1",Movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1219973,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
https://www.netflix.com/title/70021659,Jarhead,Movie,"Biography, Drama, War",2005,tt0418763,7,211218,"AD, AE, AG, AL, AO, AR, AT, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CH, CI, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/1080395,Unforgiven,Movie,"Drama, Western",1992,tt0105695,8.2,443163,"AU, BA, BE, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK"
https://www.netflix.com/title/60034545,"Eternal Sunshine of the Spotless Mind",Movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1100831,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/60020243,"Amores Perros",Movie,"Drama, Thriller",2000,tt0245712,8,256341,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/70032597,"A History of Violence",Movie,"Action, Crime, Drama",2005,tt0399146,7.4,258518,"CA, GB, GG, IE"
https://www.netflix.com/title/207856,"2001: A Space Odyssey",Movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,733679,"AU, NZ"
https://www.netflix.com/title/60025021,"Talk to Her",Movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,118626,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
